1DT032;avanc;Advanced Computer Science Studies in Sweden, 5 hp;5;;2015;1;1
1DL210;grund;Algorithms and Data Structures I, 5 hp;5;10003635.10010031.10011254;2015;1;1
1DL311;grund;Semantics of Programming Languages, 5 hp;5;10010134.10011039;2015;1;1
1DL301;grund;Database Design I, 5 hp;5;10002955.10002959.10003190.10010822;2015;1;1
1DL330;avanc;Functional programming I, 5 hp;5;10010127.10011012;2015;1;1
1DL250;avanc;Software engineering, 5 hp;5;10011074;2015;1;1
1DL340;avanc;Artificial intelligence, 5 hp;5;10010178;2015;1;1
1DL441;avanc;Combinatorial Optimisation using Constraint Programming, 10 hp;10;10003795.10011015;2015;1;2
1DL540;avanc;Language abstractions for concurrent and parallel programming, 10 hp;10;10010169.10010175.10011777.10011778.10011014.10011034;2015;1;2
1DL560;avanc;Parallel programming for performance, 5 hp;5;10010169.10010175.10011777.10011778.10011014.10011034;2015;1;1
1DL360;avanc;Data mining I, 5 hp;5;10003351;2015;1;1
1DL580;avanc;Project in Concurrent and Parallel Programming, 15 hp;15;10010169.10010175.10011777.10011778.10011014.10011034;2015;1;2
1DT038;grund;Computer architecture I, 5 hp;5;10010521.10011020;2015;1;1
1DT004;avanc;Real time systems, 10 hp;10;10010570.10011679;2015;1;1
1DT063;avanc;Real time systems, 5 hp;5;10010570.10011679;2015;1;1
1DT059;avanc;Model based design of embedded software, 10 hp;10;10010564;2015;1;1
1DT012;avanc;IT and Society, 15 hp;15;10003490.10011074;2015;1;2
1DT016;grund;Computer Architecture I, 7.5 hp;7.5;10010521.10011020;2015;1;2
1DT006;grund;Information Technology, 7.5 hp;7.5;10003456;2015;1;2
1DT034;avanc;Programming Theory, 10 hp;10;10003456.10003790.10010138;2015;1;2
1DT054;avanc;Project DV, 30 hp;30;10010972.10011074;2015;1;2
1DT052;grund;Computer networks I, 5 hp;5;10003034.10003039;2015;1;1
1DT065;avanc;Project IT, 30 hp;30;10010972.10011074;2015;1;2
1DT061;avanc;Computing education research, 10 hp;10;10003527.10010489;2015;1;2
1MD031;grund;Interface Programming with a User Perspective, 5 hp;5;10010865.10003129.10010858.10011052;2015;1;1
1MD025;avanc;Perception and Visual Design, 5 hp;5;10003145.10010364.10011058.10011069;2015;1;1
1MD016;grund;Human computer interaction, 5 hp;5;10003121;2015;1;1
1MD017;avanc;IT systems and human factors, 5 hp;5;10010217.10010484;2015;1;1
1RT605;avanc;Spectral processing of signals, 5 hp;5;10003247.10010767;2015;1;1
1TD389;avanc;Scientific visualization, 5 hp;5;10003145.10010364.10011058.10011069;2015;1;1
1TD397;avanc;Scientific Computing III, 5 hp;5;10003705.10003729;2015;1;1
1TD322;avanc;Advanced course on topics in scientific computing I, 5 hp;5;10003705.10003729.10010432.10010444;2015;1;1
1TD248;avanc;Applied scientific computing, 5 hp;5;10003705.10003729.10010432.10010444;2015;1;1
1TD326;avanc;Advanced Course on Topics in Scientific Computing II, 10 hp;10;10003705.10003729.10010432.10010444;2015;1;2
1TD186;avanc;Computational Finance - Pricing and Valuation, 5 hp;5;10003677.10003682.10010460;2015;1;1
1TD046;avanc;Programming, bridging course, 10 hp;10;10011008.10011075;2015;1;2
1TD243;avanc;Analysis of numerical methods, 5 hp;5;10003715.10003729;2015;1;1
1TD045;avanc;Scientific Computing, Bridging Course, 5 hp;5;10003677.10003682.10003728;2015;1;1
1TD395;grund;Scientific Computing II, 5 hp;5;10003677.10003682.10003728;2015;1;1
1DL450;avanc;Advanced functional programming, 5 hp;5;10011012;2015;2;2
1DL441;avanc;Combinatorial Optimisation using Constraint Programming, 10 hp;10;10003795.10011015;2015;1;2
1DL600;avanc;Software Testing and Maintenance, 10 hp;10;10011103.10011109;2015;2;3
1DL231;grund;Algorithms and data structures II, 5 hp;5;10003756.10003635.10011258;2015;2;2
1DL321;grund;Compiler Design I, 5 hp;5;10011041;2015;2;2
